Backup ID,Backup Size(MB),dataTranTime(us/MB),fpTime(ms/MB),freqTime(ms/MB),firstDedupTime(ms/MB),secondDedupTime(ms/MB),total_dedupTime(ms/MB),sfTime(ms/MB),checkTime(ms/MB),lz4compressTime(ms/MB),deltacompressTime(ms/MB),encTime(ms/MB),Total size(MB)
0,357.461,0.186443,0.889436,0.0152479,0.0633748,0.870389,1.83845,8.75819,0.101533,1.63961,0.815572,0.328006,357.460938
1,349.277,0.183399,0.892156,0.0179355,0.0672328,0.624472,1.6018,6.17437,0.095154,1.01909,0.726422,0.222307,706.738281
2,350.332,0.197577,0.898794,0.0237235,0.0683852,0.545102,1.536,5.25723,0.0932738,0.811763,0.715017,0.187669,1057.070312
3,352.09,0.193593,0.899331,0.0247302,0.0689538,0.502587,1.4956,4.75512,0.0927056,0.69399,0.700999,0.168,1409.160156
4,351.504,0.191185,0.896702,0.0223389,0.0691841,0.459175,1.4474,4.38448,0.0909055,0.62716,0.664087,0.154102,1760.664062
5,288.975,0.19007,0.897257,0.0232292,0.0700811,0.447293,1.43786,4.25748,0.0912414,0.605055,0.672268,0.150406,2049.638672
6,475.41,0.196907,0.89906,0.0247551,0.073978,0.53326,1.53105,5.02949,0.0987953,0.807846,0.72298,0.180147,2525.048828
7,333.418,0.199541,0.899648,0.0258252,0.076951,0.560694,1.56312,5.34995,0.106351,0.854674,0.774592,0.189047,2858.466797
8,350.195,0.197785,0.900692,0.0271041,0.0794443,0.573759,1.581,5.49791,0.111066,0.873158,0.820221,0.192917,3208.662109
9,350.195,0.195904,0.901078,0.0276869,0.0757569,0.519104,1.52363,4.95779,0.101035,0.787733,0.742737,0.174526,3558.857422
10,360.557,0.197168,0.902009,0.0282738,0.0757049,0.487165,1.49315,4.64041,0.0956242,0.737472,0.707297,0.163768,3919.414062
11,297.832,0.19891,0.902008,0.0281441,0.0757573,0.462987,1.4689,4.40746,0.0917907,0.699999,0.684719,0.155422,4217.246094
12,297.686,0.197832,0.902051,0.0281769,0.0770222,0.457009,1.46426,4.34022,0.0919112,0.685537,0.684787,0.153607,4514.931641
13,484.023,0.198824,0.902238,0.028506,0.0750979,0.418211,1.42405,3.96029,0.0854795,0.622696,0.637218,0.140279,4998.955078
14,498.467,0.197393,0.902163,0.0282096,0.0756142,0.407861,1.41385,3.85743,0.085181,0.596302,0.633673,0.13571,5497.421875
15,498.555,0.199571,0.901005,0.0266655,0.0758954,0.391362,1.39493,3.71961,0.0836157,0.570544,0.617554,0.129792,5995.976562
16,368.594,0.200864,0.901807,0.0275305,0.077431,0.399802,1.40657,3.80927,0.0865502,0.585727,0.616443,0.132235,6364.570312
